id|data_inversa|dia_semana|horario|uf|br|municipio|causa_acidente|tipo_acidente|classificacao_acidente|fase_dia|condicao_metereologica|pessoas|mortos|feridos_leves|feridos_graves
260031|2020-01-01|quarta-feira|01:00:00|TO|153.0|GURUPI|Animais na Pista|Atropelamento de Animal|Com Vítimas Feridas|Plena Noite|Nublado|5|0|0|5
260036|2020-01-01|quarta-feira|01:00:00|RJ|116.0|NOVA IGUACU|Falta de Atenção do Pedestre|Atropelamento de Pedestre|Com Vítimas Fatais|Plena Noite|Céu Claro|2|1|0|0
260037|2020-01-01|quarta-feira|01:52:00|SC|101.0|SAO JOSE|Ingestão de Álcool|Colisão lateral|Com Vítimas Feridas|Plena Noite|Nublado|2|0|1|0
260038|2020-01-01|quarta-feira|01:15:00|RO|364.0|CACOAL|Velocidade Incompatível|Saída de leito carroçável|Com Vítimas Feridas|Plena Noite|Nublado|1|0|0|1
260039|2020-01-01|quarta-feira|01:30:00|PR|153.0|REBOUCAS|Ingestão de Álcool|Capotamento|Com Vítimas Feridas|Plena Noite|Garoa/Chuvisco|6|0|2|4
260040|2020-01-01|quarta-feira|00:40:00|RO|319.0|PORTO VELHO|Ingestão de Álcool|Colisão transversal|Sem Vítimas|Plena Noite|Céu Claro|2|0|0|0
260041|2020-01-01|quarta-feira|02:20:00|SC|101.0|BARRA VELHA|Falta de Atenção à Condução|Colisão com objeto estático|Sem Vítimas|Plena Noite|Garoa/Chuvisco|1|0|0|0
260042|2020-01-01|quarta-feira|02:15:00|PR|369.0|LONDRINA|Desobediência às normas de trânsito pelo condutor|Colisão transversal|Com Vítimas Feridas|Plena Noite|Céu Claro|3|0|1|0
260043|2020-01-01|quarta-feira|02:30:00|AL|104.0|UNIAO DOS PALMARES|Animais na Pista|Atropelamento de Animal|Com Vítimas Fatais|Plena Noite|Nublado|1|1|0|0
260044|2020-01-01|quarta-feira|00:20:00|RS|290.0|PORTO ALEGRE|Falta de Atenção à Condução|Tombamento|Com Vítimas Feridas|Plena Noite|Céu Claro|2|0|2|0
260045|2020-01-01|quarta-feira|02:50:00|SC|470.0|IBIRAMA|Condutor Dormindo|Colisão frontal|Com Vítimas Feridas|Plena Noite|Nublado|4|0|2|2
260046|2020-01-01|quarta-feira|02:15:00|SC|282.0|XANXERE|Animais na Pista|Saída de leito carroçável|Com Vítimas Feridas|Plena Noite|Céu Claro|3|0|0|1
260050|2020-01-01|quarta-feira|03:40:00|PE|101.0|ABREU E LIMA|Falta de Atenção à Condução|Colisão lateral|Com Vítimas Feridas|Plena Noite|Céu Claro|4|0|0|2
260051|2020-01-01|quarta-feira|02:30:00|MT|364.0|SAO PEDRO DA CIPA|Falta de Atenção à Condução|Queda de ocupante de veículo|Com Vítimas Feridas|Plena Noite|Céu Claro|2|0|2|0
260052|2020-01-01|quarta-feira|03:10:00|BA|101.0|FEIRA DE SANTANA|Animais na Pista|Atropelamento de Animal|Com Vítimas Feridas|Plena Noite|Nublado|2|0|1|1
260053|2020-01-01|quarta-feira|04:00:00|SC|101.0|BALNEARIO CAMBORIU|Falta de Atenção do Pedestre|Atropelamento de Pedestre|Com Vítimas Fatais|Plena Noite|Céu Claro|2|1|0|0
260054|2020-01-01|quarta-feira|00:05:00|AP|156.0|FERREIRA GOMES|Animais na Pista|Atropelamento de Animal|Sem Vítimas|Plena Noite|Céu Claro|1|0|0|0
260055|2020-01-01|quarta-feira|03:20:00|GO|60.0|GOIANIA|Falta de Atenção à Condução|Saída de leito carroçável|Com Vítimas Feridas|Amanhecer|Nublado|4|0|4|0
260057|2020-01-01|quarta-feira|04:55:00|DF|20.0|BRASILIA|Ingestão de Álcool|Atropelamento de Pedestre|Com Vítimas Feridas|Amanhecer|Garoa/Chuvisco|3|0|2|0
260060|2020-01-01|quarta-feira|05:00:00|SP|116.0|PINDAMONHANGABA|Falta de Atenção à Condução|Colisão com objeto estático|Com Vítimas Feridas|Amanhecer|Céu Claro|2|0|2|0
260061|2020-01-01|quarta-feira|03:00:00|BA|324.0|SALVADOR|Falta de Atenção à Condução|Queda de ocupante de veículo|Com Vítimas Feridas|Plena Noite|Nublado|2|0|2|0
260063|2020-01-01|quarta-feira|03:30:00|SC|101.0|PAULO LOPES|Ingestão de Álcool|Colisão lateral|Sem Vítimas|Plena Noite|Céu Claro|5|0|0|0
260064|2020-01-01|quarta-feira|05:45:00|PB|101.0|MAMANGUAPE|Ingestão de Álcool|Colisão com objeto estático|Com Vítimas Feridas|Pleno dia|Céu Claro|1|0|1|0
260065|2020-01-01|quarta-feira|06:00:00|PR|373.0|IPIRANGA|Condutor Dormindo|Colisão com objeto estático|Com Vítimas Feridas|Amanhecer|Céu Claro|4|0|2|2
260066|2020-01-01|quarta-feira|02:45:00|PI|407.0|GEMINIANO|Falta de Atenção à Condução|Colisão traseira|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|0|1
260067|2020-01-01|quarta-feira|06:00:00|MG|381.0|PERDOES|Ingestão de Álcool|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Chuva|4|0|4|0
260068|2020-01-01|quarta-feira|05:40:00|PA|316.0|SAO FRANCISCO DO PARA|Falta de Atenção à Condução|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|2|0
260069|2020-01-01|quarta-feira|05:45:00|SP|153.0|JOSE BONIFACIO|Falta de Atenção à Condução|Colisão com objeto estático|Com Vítimas Feridas|Pleno dia|Céu Claro|5|0|3|0
260070|2020-01-01|quarta-feira|06:15:00|AL|101.0|MATRIZ DE CAMARAGIBE|Falta de Atenção à Condução|Colisão com objeto estático|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|2|0
260071|2020-01-01|quarta-feira|06:20:00|GO|153.0|PIRENOPOLIS|Ingestão de Álcool|Saída de leito carroçável|Com Vítimas Feridas|Amanhecer|Nublado|2|0|2|0
260073|2020-01-01|quarta-feira|06:00:00|MG|262.0|UBERABA|Falta de Atenção à Condução|Colisão transversal|Com Vítimas Feridas|Pleno dia|Céu Claro|4|0|1|0
260074|2020-01-01|quarta-feira|05:50:00|RN|101.0|NATAL|Pista Escorregadia|Queda de ocupante de veículo|Com Vítimas Feridas|Pleno dia|Nublado|2|0|1|0
260075|2020-01-01|quarta-feira|05:30:00|MG|381.0|RIO MANSO|Condutor Dormindo|Capotamento|Sem Vítimas|Amanhecer|Céu Claro|1|0|0|0
260076|2020-01-01|quarta-feira|07:00:00|SC|101.0|PORTO BELO|Falta de Atenção à Condução|Tombamento|Com Vítimas Feridas|Pleno dia|Sol|1|0|1|0
260077|2020-01-01|quarta-feira|06:40:00|GO|40.0|LUZIANIA|Falta de Atenção à Condução|Colisão com objeto estático|Sem Vítimas|Pleno dia|Céu Claro|1|0|0|0
260078|2020-01-01|quarta-feira|06:00:00|MG|381.0|NOVA ERA|Velocidade Incompatível|Saída de leito carroçável|Com Vítimas Feridas|Amanhecer|Céu Claro|1|0|1|0
260080|2020-01-01|quarta-feira|01:50:00|RJ|116.0|TERESOPOLIS|Desobediência às normas de trânsito pelo condutor|Colisão lateral|Com Vítimas Feridas|Plena Noite|Céu Claro|6|0|1|1
260081|2020-01-01|quarta-feira|06:17:00|RO|364.0|PIMENTA BUENO|Falta de Atenção à Condução|Colisão traseira|Com Vítimas Feridas|Amanhecer|Chuva|2|0|0|1
260083|2020-01-01|quarta-feira|04:40:00|SP|116.0|MIRACATU|Ingestão de Álcool|Colisão traseira|Com Vítimas Feridas|Amanhecer|Nublado|3|0|2|0
260084|2020-01-01|quarta-feira|03:45:00|RJ|101.0|ANGRA DOS REIS|Condutor Dormindo|Colisão frontal|Com Vítimas Feridas|Plena Noite|Céu Claro|7|0|4|0
260085|2020-01-01|quarta-feira|05:00:00|RS|470.0|BARRACAO|Condutor Dormindo|Saída de leito carroçável|Sem Vítimas|Amanhecer|Céu Claro|1|0|0|0
260086|2020-01-01|quarta-feira|05:20:00|PR|376.0|GUARATUBA|Ingestão de Álcool|Capotamento|Sem Vítimas|Amanhecer|Céu Claro|1|0|0|0
260087|2020-01-01|quarta-feira|06:00:00|BA|116.0|CANUDOS|Condutor Dormindo|Saída de leito carroçável|Com Vítimas Fatais|Pleno dia|Nublado|1|1|0|0
260088|2020-01-01|quarta-feira|07:20:00|RN|101.0|NATAL|Falta de Atenção à Condução|Colisão com objeto estático|Com Vítimas Fatais|Pleno dia|Céu Claro|2|1|0|1
